Review,Date
I love this place so much! Delicious coffee and funny girls. They are very friendly and welcoming,"Jun 12, 2025"
"Super friendly staff, great service, I love the whole "" read chismes "" while you drink your coffee . Of course I put in my own chisme . I had the coffee cake , and iced white cocoa coffee.

They were dog friendly, they gave my dog a puppachino and water .

Great experience, would definitely come again.","Jun 28, 2025"
"Coffee & Chisme is a cute hole in the wall that is a flair of Latin culture and trendy concepts! We were a little hesitant about the ""B"" rating, but did our due justice and looked around and didnt see anything out of place. So be weary. If you wanna just come for the chisme, they have some seating outside with the bowls and seating inside as well! We weren't planning to stay long, but couldn't resisit! They have post it notes that that you can also write on and leave your own!
We got the cocoa puffs cereral drink, the lavender lemonade, cupcakes: red velvet, chocolate, & carrot cake, blueberry scones (i liked it, but cousin thought it was a bit dry) and a coffee cake.
All in al, service was fast, not a lot of seating, but if youre coming in with a small group. You can find a spot.
Plenty of street parking (check signs in case of street sweeping).
Also, no AC, so beware if going in the summer.

All in all, a cute place to stop by.","Jun 3, 2025"
"The concept is amazing, the jar of Chisme and the environment is great.
Iced Cafe de Olla was delicious, it's my go to. I've also gotten the affogato since they serve Thirfty ice cream!
The crepes are good, just have to be patient when ordering food made to order. Limited parking but a fun spot if you have the time and want to support a small business.","May 7, 2025"
"This café has great service overall! The staff are friendly, bilingual (English and Spanish) and it feels familiar. Also, the food smells great. I had a bagel with cream cheese that I enjoyed.

However, I ordered an ice vanilla latte with oat milk, and it was entirely too sweet. They were so kind to remake the drink without any syrup, but the espresso itself tasted burnt and undrinkable. I think that they have the potential to be an amazing coffee shop if they're able to hone in on the espresso. If you like sweet coffee and coffee dessert drinks then this spot might be for you.

Street parking is available around the café.","Mar 25, 2025"
"The service was great. Diego rang us up and was pleasant to be helped by. I had a difficult time choosing between 2 items and Diego helped pick one that ended up being exactly what I needed to please my coffee itch.

Customer service from Diego and the other caffee barista girl were great. They are extremely hardworking being that there were a lot of people and the only two working that day. With the amount of people, the number of drinks and food items they had to make was incredible to watch. Best part was that this didnt affect how long my drinks were going to take because they arrived sooner than expected.

The pastries looked SO GOOD! I tried the blueberry scone and it was warm and soft in the center. I preferred it that was then how they are traditionally.
The service was EXCELLENT!
The interior looked CLEAN!
Coffee was AWESOME!
The Chisme was JUICY!
Prices are very FAIR!
I hope you get a chance to try them out!","Mar 23, 2025"
"$8 for a latte that taste like hot water is crazy.
Really unfortunate Was curious to support this business but will definitely not return","Jun 6, 2025"
"A place where you feel right at home!

Enjoyed the place and the decor! Came here on a Tuesday afternoon and it wasn't too busy.

Ordered their strawberry matcha, which I rate a 7/10. It was delicious.

My brother ordered their Abuelita Frappé. He rated it a 7.5/10.

We also got one of their pastries--the banana muffin! Rate: 8/10. Super tasty, and even tastier warmed up!

Overall, I loved my experience here! The homey greeting was amazing.

Coming back for sure to try their Café de Olla Cold Foam!","Feb 28, 2025"
"Nice little spot in South Gate. We need more places like this one. The iced code de olla was a lot better than expected. The sweetness was just right (not too sweet!). Also had an oatmeal and it was okay (bit too watery, but still good). I enjoyed these two things while reading some good chisme. And the service was great. Got my items pretty quickly.","Apr 19, 2025"
"This place is so cute! The señoras working behind the counter are providing warm and welcoming hospitality. Proud of them for learning the ins and outs of coffee & coffee culture! They had coffee knowledge and were very pleasant. They brought my coffee & pastry to me from behind the counter. They really made this a memorable experience.

This coffee shop is located in the city of South Gate, this is not a suburban area, it's a very overpopulated neighborhood with limited parking, street parking is your best bet! Complain all you want, this is a fairly new concept to this area. They are doing a fantastic job.

The menu is pretty extensive--I had a hard time deciding what I wanted. I ordered the iced Cafe De Olla with cold foam. I do wish the coffee was stronger and less sweet but the cold from was tasty. I'd get it again with a shot of espresso. I also ordered the coffee cake & it was great, not too sweet, perfectly warm & spongy. Loved it! The prices here are super affordable. Definitely worth it.

The chime jar is such a vibe I love the concept. When I walked in a few teenagers were writing down their chisme and we all laughed at reading some of other folks chisme. Overall a great experience I really appreciate what they are doing here! I'll be back!","Jan 3, 2025"
"The concept is great! Loved the anonymous chimes in the bowl! Such a conversation starter and crazy stories shared. There was a bit of a line but went fast and we revived our orders fast too. Most of the coffees we tried were good with the exception of a hot americano, it wasn't too strong. We sat outside and it was a good environment. Would go back!","Jun 7, 2025"
"Everything was amazing. The chisme was good. Staff very friendly! Food was good. I had chipotle chicken panini, just wish it was a bit more spicy but that's just me :P. Would 10/10 recommend this place and will for sure come back! Small but really nice place.","Jun 27, 2025"
"Wash doing laundry down the street and while I waited for my clothes to try I stopped by here. The parking is quite confusing so we ended up parking by the high school around the corner. If it were during school hours, we definitely wouldn't have found parking.

We were immediately greeted as soon as we walked in! We needed a few minutes to decide what to order so the barista told us to ding the bell whenever we were ready which was pretty cool.

Once our order was placed, we waited about 30 minutes before we got our drinks and pizza panini. There were already two guests who were waiting for their order to be done. So, we were right behind them. They seemed pretty staff so I'm not really sure why it took so long.

The people who were there already had their drinks and food. They only had a few seats and they were already taken, and the store was pretty small so we were an inconvenience to anyone else waiting for their order or trying to order.

Everything was good and made to order and worth the wait however i recommend placing an order online if you do decide to stop by.","Sep 29, 2024"
Delicious coffee! Coco puffs coffee is way better than what you get anywhere else!! And amazing price point,"Jun 15, 2025"
"The service and ambience is welcoming and warm. You're greeted immediately with a smile. The cafe de olla is so good, pictured has the cold foam. The ham and cheese sandwich was a little heavy but they have a great chipotle sauce that compliments everything well. Go put your chisme in the jar!","Feb 2, 2025"
The service and environment were good. Staff were friendly. We got the horchata frappe & chocolate abuelita latte. The horchata frappe was too sweet. We recommend to the chocolate abuelita latte. Highly recommend!,"May 8, 2025"
Loved the friendly staff and my coffee it was so good!!! I loved the cafe de olla. I also had a chipotle chicken sandwich and it was great. I don't really like spicy and it wasn't but had lots of flavor. Definitely a great place to come with your girlfriends and hangout,"Mar 29, 2025"
"Love the cafe de olla here but in the past two weeks I have ordered it two times and both times it has tasted really watered down. Not sure if there is a different person that is brewing it. I would love for it to taste how it used to, i'll give it another try in a few weeks.","May 15, 2025"
"This coffee shop is amazing. Everything that we ordered was delicious. We ordered drinks, pastries, and sandwiches and everything tasted delicious. The service was great. The lady who took our order was super friendly and kind and make sure that we were enjoying our food once it was served. I love the decoration. I took more pictures of the decoration than the food, but I will definitely be going back for more and I'll remember to take pictures of the food next time.","Feb 20, 2025"
"I ordered an Oreo and caramel frappe. My parents enjoyed them very much. The staff are very nice and attentive as well.

Parking in the area is a little tough but doable. Inside there is not much seating as it's pretty small but it's a really cute and clean.

The chisme bowls are too funny! I spent a good while reading them as I waited for my drinks. It seems they get a good flow of customers as well so there was a bit of a wait but I'll definitely be back!!","Apr 4, 2025"
